Title,URL,Location,Confirmed_US
Cryoease Sales Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Suzhou-Jiangsu/Cryoease-Sales-Engineer_JR-2025-15246?q=Data%20Engineer,"Suzhou, Jiangsu",False
Commissioning & Startup Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Allentown-Pennsylvania/Commissioning---Startup-Engineer_JR-2024-12554?q=Data%20Engineer,2 Locations,False
Optimization Engineer (Contractor),https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Hsin-Chu-Hsinchu-City/Optimization-Engineer--Contractor-_JR-2025-15375?q=Data%20Engineer,"Hsin Chu, Hsinchu City",False
Instrumentation Field Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Rotterdam-Netherlands/Instrumentation-Field-Engineer_JR-2025-15920?q=Data%20Engineer,2 Locations,False
Senior Project Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Kedzierzyn-Kozle-Poland/Senior-Project-Engineer_JR-2025-16610?q=Data%20Engineer,3 Locations,False
E&I Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Tainan-Tainan-City/E-I-Engineer_JR-2025-15359?q=Data%20Engineer,"Tainan, Tainan City",False
SAP SF Business Analyst,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/SAP-SF-Business-Analyst_JR-2025-14790?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Mechanical Designer-Turbomachinery,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Bethlehem-Pennsylvania/Designer-I-Turbomachinery_JR-2025-16665?q=Data%20Engineer,"Bethlehem, Pennsylvania",True
Técnico en Instrumentación,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Sibate-Colombia/Tcnico-en-Instrumentacin_JR-2025-14621?q=Data%20Engineer,"Sibate, Colombia",False
Traveling Service Technician – Instrumentation & Maintenance,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Rotterdam-NL-Botlek-Office0H41/Instrument-Field-Technician_JR-2024-13554?q=Data%20Engineer,Rotterdam NL (Botlek Office)(0H41),False
Internship Training,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Dhahran-SA-DTVC-plot-26-0S13/Internship-Training_JR-2025-16033?q=Data%20Engineer,Dhahran SA (DTVC plot 26) (0S13),False
Material Coordinator,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Material-Coordinator_JR-2025-14669?q=Data%20Engineer,"Jazan, Saudi Arabia",False
HyCO Plant Process Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Martinez-CA/HyCO-Plant-Process-Engineer_JR-2025-15832-1?q=Data%20Engineer,"Martinez, CA",True
PPO safety & project engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Nanke-Tainan-City/PPO-safety---project-engineer_JR-2025-15272?q=Data%20Engineer,"Nanke, Tainan City",False
Advanced Process Control Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Advanced-Process-Control-Engineer_JR-2025-16731?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Power Block,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Power-Block_JR-2025-14732?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Power Block,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Power-Block_JR-2025-16842?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Shift Engineer - Barauni (Open),https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Barauni-India/Shift-Engineer---Barauni--Open-_JR-2023-07705-1?q=Data%20Engineer,"Barauni, India",False
